Date,Open,High,Low,Close,Volume,Symbol,Sector
2023-04-07,68.5,69.3,65.3,66.07,5591512.0,PPL,Energy
2023-04-10,65.59,66.39,64.73,65.05,1906457.0,PPL,Energy
2023-04-11,65.0,65.25,63.9,64.85,2006499.0,PPL,Energy
2023-04-12,64.4,67.4,64.4,66.98,3773429.0,PPL,Energy
2023-04-13,67.99,68.75,66.75,67.22,3957408.0,PPL,Energy
2023-04-17,67.73,68.44,66.9,67.17,1698788.0,PPL,Energy
2023-04-18,67.0,67.86,66.5,67.33,2240434.0,PPL,Energy
2023-04-19,67.5,67.9,67.05,67.41,2938415.0,PPL,Energy
2023-04-20,68.0,68.48,67.1,68.2,2273610.0,PPL,Energy
2023-04-26,68.6,69.1,67.86,68.12,3113351.0,PPL,Energy
2023-04-27,67.9,68.21,66.8,67.45,2429262.0,PPL,Energy
2023-04-28,67.45,67.7,66.5,66.58,2022385.0,PPL,Energy
2023-05-02,66.58,66.98,65.5,65.66,1227511.0,PPL,Energy
2023-05-03,65.42,66.0,64.91,65.38,3661628.0,PPL,Energy
2023-05-04,65.6,65.7,64.22,64.39,1308027.0,PPL,Energy
2023-05-05,64.39,65.88,64.05,64.77,3983059.0,PPL,Energy
2023-05-08,65.09,65.15,63.01,63.29,1567777.0,PPL,Energy
2023-05-09,63.29,63.29,61.1,61.7,3287415.0,PPL,Energy
2023-05-10,61.3,62.29,60.51,60.72,2252281.0,PPL,Energy
2023-05-11,61.0,61.75,60.53,61.08,1457004.0,PPL,Energy
2023-05-12,62.0,62.0,59.85,60.49,2822108.0,PPL,Energy
2023-05-15,60.25,60.25,59.1,59.28,4325898.0,PPL,Energy
2023-05-16,60.0,61.38,59.6,60.87,8147822.0,PPL,Energy
2023-05-17,60.88,61.4,59.5,59.59,2885966.0,PPL,Energy
2023-05-18,59.59,59.99,58.8,59.06,2779634.0,PPL,Energy
2023-05-19,59.0,60.91,58.9,60.29,4526257.0,PPL,Energy
2023-05-22,60.49,60.49,58.7,58.83,2331028.0,PPL,Energy
2023-05-23,58.85,58.99,58.02,58.21,1247254.0,PPL,Energy
2023-05-24,58.48,59.18,58.05,58.35,1384652.0,PPL,Energy
2023-05-25,58.5,59.3,58.2,58.6,2574212.0,PPL,Energy
2023-05-26,58.49,58.77,56.69,56.82,3488612.0,PPL,Energy
2023-05-29,57.0,58.2,56.99,57.09,2750008.0,PPL,Energy
2023-05-30,57.25,59.33,57.25,58.52,4947319.0,PPL,Energy
2023-05-31,58.57,58.97,57.5,57.6,1976085.0,PPL,Energy
2023-06-01,57.7,58.87,57.3,58.07,1626005.0,PPL,Energy
2023-06-02,57.8,58.3,57.8,58.06,821029.0,PPL,Energy
2023-06-05,58.05,61.89,58.05,61.57,9434106.0,PPL,Energy
2023-06-06,61.9,63.18,61.05,61.28,10796581.0,PPL,Energy
2023-06-07,61.44,61.92,60.75,61.46,2375871.0,PPL,Energy
2023-06-08,61.25,62.62,60.35,60.54,3945300.0,PPL,Energy
