Date,Open,High,Low,Close,Volume,Symbol,Sector
2019-09-13,74.16,74.9,72.0,72.52,2965500.0,HUBC,Power
2019-09-16,75.0,75.0,69.8,71.35,2021000.0,HUBC,Power
2019-09-17,71.99,72.2,70.0,70.53,766500.0,HUBC,Power
2019-09-18,70.9,71.0,69.7,69.83,840500.0,HUBC,Power
2019-09-19,69.5,73.32,69.5,73.12,2032000.0,HUBC,Power
2019-09-20,73.63,73.75,72.7,73.39,1033000.0,HUBC,Power
2019-09-23,73.0,74.0,72.75,73.21,436000.0,HUBC,Power
2019-09-24,70.35,73.55,70.3,72.75,2086000.0,HUBC,Power
2019-09-25,72.33,72.7,70.16,70.61,1436000.0,HUBC,Power
2019-09-26,70.52,70.96,68.66,68.9,1670500.0,HUBC,Power
2019-09-27,69.47,71.79,68.98,70.74,1536500.0,HUBC,Power
2019-09-30,71.0,72.38,70.5,70.75,1486500.0,HUBC,Power
2019-10-01,71.0,72.19,70.77,71.66,538500.0,HUBC,Power
2019-10-02,71.4,71.7,70.9,71.42,591000.0,HUBC,Power
2019-10-03,71.58,72.6,71.4,72.14,1024000.0,HUBC,Power
2019-10-04,72.05,73.99,71.54,73.19,1981500.0,HUBC,Power
2019-10-07,73.25,74.8,72.75,73.47,2281000.0,HUBC,Power
2019-10-08,73.5,74.0,72.0,72.52,987000.0,HUBC,Power
2019-10-09,72.11,73.96,72.0,73.79,1138500.0,HUBC,Power
2019-10-10,73.23,75.35,73.23,75.22,1715000.0,HUBC,Power
2019-10-11,75.01,77.5,75.0,76.76,2877000.0,HUBC,Power
2019-10-14,76.9,79.89,76.15,77.14,1378500.0,HUBC,Power
2019-10-15,77.45,77.49,74.99,75.22,1022500.0,HUBC,Power
2019-10-16,75.39,75.85,74.26,74.63,1385000.0,HUBC,Power
2019-10-17,74.56,74.56,73.62,74.01,694000.0,HUBC,Power
2019-10-18,73.7,74.98,73.5,74.06,406000.0,HUBC,Power
2019-10-21,74.48,74.49,71.75,71.9,785500.0,HUBC,Power
2019-10-22,72.4,73.51,72.0,72.72,1055500.0,HUBC,Power
2019-10-23,73.1,73.48,72.5,73.0,1161000.0,HUBC,Power
2019-10-24,73.25,73.55,72.6,73.44,885500.0,HUBC,Power
2019-10-25,73.1,73.39,72.02,72.09,650500.0,HUBC,Power
2019-10-28,72.35,73.0,70.12,72.49,580500.0,HUBC,Power
2019-10-29,72.97,73.0,71.5,72.38,619500.0,HUBC,Power
2019-10-30,72.9,73.2,71.51,72.01,1074500.0,HUBC,Power
2019-10-31,72.39,73.0,72.2,72.38,1478000.0,HUBC,Power
2019-11-01,72.12,74.65,72.0,74.21,1215500.0,HUBC,Power
2019-11-04,74.75,77.92,74.5,77.63,1698000.0,HUBC,Power
2019-11-05,77.6,78.74,75.2,75.61,1364500.0,HUBC,Power
2019-11-06,76.0,78.25,75.5,75.77,1928500.0,HUBC,Power
2019-11-07,76.01,76.95,75.0,76.67,801000.0,HUBC,Power
2019-11-08,76.98,77.0,75.1,75.42,2057000.0,HUBC,Power
2019-11-11,75.97,79.19,75.6,79.19,2405500.0,HUBC,Power
2019-11-12,81.9,83.14,81.4,81.87,3531500.0,HUBC,Power
2019-11-13,81.0,83.9,80.0,82.92,5016500.0,HUBC,Power
2019-11-14,82.98,83.99,81.69,82.66,825500.0,HUBC,Power
2019-11-15,82.5,83.0,82.0,82.69,847500.0,HUBC,Power
2019-11-18,86.0,86.82,85.01,86.82,4897500.0,HUBC,Power
2019-11-19,87.55,91.16,87.55,91.16,5067000.0,HUBC,Power
2019-11-20,92.0,92.7,90.0,90.67,5906000.0,HUBC,Power
2019-11-21,90.5,90.5,87.0,87.48,2083000.0,HUBC,Power
2019-11-22,87.06,89.0,86.44,88.82,1553000.0,HUBC,Power
2019-11-25,88.7,89.85,87.5,87.97,1245000.0,HUBC,Power
2019-11-26,88.0,89.25,84.2,84.53,3182000.0,HUBC,Power
2019-11-27,85.25,86.5,84.57,85.92,715000.0,HUBC,Power
2019-11-28,86.1,90.21,85.0,89.06,2592000.0,HUBC,Power
2019-11-29,89.8,91.98,88.2,90.79,3209500.0,HUBC,Power
2019-12-02,91.5,93.74,90.0,93.16,2868500.0,HUBC,Power
2019-12-03,92.79,93.03,91.1,92.38,2117500.0,HUBC,Power
2019-12-04,92.38,93.99,90.2,93.12,8831000.0,HUBC,Power
2019-12-05,93.99,94.5,92.98,93.03,7410000.0,HUBC,Power
2019-12-06,93.74,94.9,93.25,94.24,2785500.0,HUBC,Power
2019-12-09,93.5,94.7,92.15,92.87,1062500.0,HUBC,Power
2019-12-10,92.05,92.75,91.8,92.43,1695000.0,HUBC,Power
2019-12-11,92.5,93.2,90.5,91.13,1193000.0,HUBC,Power
2019-12-12,90.0,92.5,90.0,90.5,1240500.0,HUBC,Power
2019-12-13,90.6,91.79,89.8,90.88,5636000.0,HUBC,Power
2019-12-16,91.4,92.24,90.91,91.13,2778500.0,HUBC,Power
2019-12-17,91.31,91.49,88.5,89.44,7414000.0,HUBC,Power
2019-12-18,87.61,92.49,87.61,91.4,6453000.0,HUBC,Power
2019-12-19,91.8,92.0,88.03,88.92,3477500.0,HUBC,Power
2019-12-20,89.65,89.9,88.0,89.44,4437000.0,HUBC,Power
2019-12-23,89.0,89.0,86.75,86.94,3150500.0,HUBC,Power
2019-12-24,87.5,88.75,86.25,88.23,5155500.0,HUBC,Power
2019-12-26,88.5,90.7,88.5,89.86,5454000.0,HUBC,Power
2019-12-27,89.99,92.5,89.2,92.0,4560500.0,HUBC,Power
2019-12-30,92.5,94.24,92.4,93.02,3093500.0,HUBC,Power
2019-12-31,93.5,94.0,92.2,93.35,1487000.0,HUBC,Power
2020-01-01,93.45,93.45,91.52,92.93,555500.0,HUBC,Power
2020-01-02,92.5,97.57,92.5,97.57,7051000.0,HUBC,Power
2020-01-03,98.9,99.5,97.3,98.38,5327000.0,HUBC,Power
2020-01-06,96.1,97.3,95.0,95.37,2070000.0,HUBC,Power
2020-01-07,96.02,97.45,95.42,96.99,2076500.0,HUBC,Power
2020-01-08,95.01,96.9,94.25,95.03,2589500.0,HUBC,Power
2020-01-09,97.0,98.95,96.52,98.68,3040500.0,HUBC,Power
2020-01-10,99.01,103.61,98.3,103.21,7482000.0,HUBC,Power
2020-01-13,104.0,105.5,101.0,101.88,2451500.0,HUBC,Power
2020-01-14,102.0,103.7,101.8,102.95,1667500.0,HUBC,Power
2020-01-15,102.03,102.8,100.75,101.34,360500.0,HUBC,Power
2020-01-16,100.6,102.98,100.6,101.33,415500.0,HUBC,Power
2020-01-17,101.5,102.0,99.9,101.08,833000.0,HUBC,Power
2020-01-20,101.0,103.0,99.25,100.85,1830000.0,HUBC,Power
2020-01-21,102.31,102.99,100.82,102.11,3589500.0,HUBC,Power
2020-01-22,101.9,102.2,101.01,101.73,648500.0,HUBC,Power
2020-01-23,102.25,103.25,100.98,101.11,682000.0,HUBC,Power
2020-01-24,101.9,102.5,101.0,101.8,1706000.0,HUBC,Power
2020-01-27,101.35,101.99,100.01,100.37,661500.0,HUBC,Power
2020-01-28,100.0,100.5,99.04,100.05,538000.0,HUBC,Power
2020-01-29,100.2,100.78,98.5,98.9,1082500.0,HUBC,Power
2020-01-30,99.0,99.5,96.12,97.5,1417500.0,HUBC,Power
2020-01-31,98.1,99.9,96.8,97.36,2218500.0,HUBC,Power
2020-02-03,96.05,96.5,94.5,96.13,3016500.0,HUBC,Power
2020-02-04,97.0,99.98,95.7,99.29,935000.0,HUBC,Power
2020-02-06,99.25,99.74,95.8,96.43,622000.0,HUBC,Power
2020-02-07,94.56,96.55,94.5,95.04,1388000.0,HUBC,Power
2020-02-10,95.2,95.2,93.25,93.68,3166500.0,HUBC,Power
2020-02-11,94.49,99.25,93.99,97.72,1614500.0,HUBC,Power
2020-02-12,98.0,100.89,96.57,99.81,1849500.0,HUBC,Power
2020-02-13,100.25,101.0,98.0,99.15,1021000.0,HUBC,Power
2020-02-14,98.25,100.5,97.5,98.93,475000.0,HUBC,Power
2020-02-17,97.62,99.99,96.0,96.69,1115000.0,HUBC,Power
2020-02-18,97.0,99.0,95.05,96.34,1228000.0,HUBC,Power
2020-02-19,96.26,98.0,96.0,97.46,1034000.0,HUBC,Power
2020-02-20,97.0,97.5,96.01,97.19,427500.0,HUBC,Power
2020-02-21,96.98,99.3,96.5,98.3,661000.0,HUBC,Power
2020-02-24,97.25,98.1,94.5,95.13,1034500.0,HUBC,Power
2020-02-25,95.0,95.0,93.03,93.9,2378000.0,HUBC,Power
2020-02-26,93.0,93.0,89.11,90.93,1852500.0,HUBC,Power
2020-02-27,88.5,94.5,85.52,91.3,3001000.0,HUBC,Power
2020-02-28,90.99,92.0,89.25,90.33,1427000.0,HUBC,Power
2020-03-02,90.2,94.3,89.3,93.77,4434000.0,HUBC,Power
2020-03-03,93.99,94.8,91.25,92.05,2730500.0,HUBC,Power
2020-03-04,91.0,92.45,88.6,89.93,3349500.0,HUBC,Power
2020-03-05,90.0,93.35,90.0,92.51,4468000.0,HUBC,Power
2020-03-06,91.5,91.5,87.27,87.91,3946000.0,HUBC,Power
2020-03-09,81.76,86.99,81.76,84.82,4736500.0,HUBC,Power
2020-03-10,85.0,87.8,85.0,85.98,3785000.0,HUBC,Power
2020-03-11,85.98,88.18,85.3,86.47,4163000.0,HUBC,Power
2020-03-12,84.12,85.49,81.0,82.63,4983000.0,HUBC,Power
2020-03-13,80.0,83.0,77.02,82.6,5895000.0,HUBC,Power
2020-03-16,81.5,81.5,76.41,76.72,5495500.0,HUBC,Power
2020-03-17,74.9,80.0,73.9,74.91,6182000.0,HUBC,Power
2020-03-18,73.4,73.49,69.3,69.3,2602500.0,HUBC,Power
2020-03-19,64.11,67.0,64.11,64.9,10394000.0,HUBC,Power
2020-03-20,67.0,68.5,64.85,67.05,3040500.0,HUBC,Power
2020-03-24,62.03,62.03,62.03,62.03,879359.0,HUBC,Power
2020-03-25,63.0,63.4,57.38,57.4,5091414.0,HUBC,Power
2020-03-26,56.8,61.65,56.8,58.53,4346710.0,HUBC,Power
2020-03-27,58.25,62.91,58.25,62.91,1462695.0,HUBC,Power
2020-03-30,63.0,64.7,59.4,64.4,3010545.0,HUBC,Power
2020-03-31,64.5,69.0,63.26,68.27,3662469.0,HUBC,Power
2020-04-01,68.0,69.48,66.11,67.82,2672046.0,HUBC,Power
2020-04-02,67.75,71.95,67.05,71.06,2729835.0,HUBC,Power
2020-04-03,72.0,76.38,72.0,76.38,3532134.0,HUBC,Power
2020-04-06,77.5,77.5,72.5,73.48,2235796.0,HUBC,Power
